sample_date,sampler_name,project_type,broad_location,total_Cl2_mg.L,free_Cl2_mg.L,site,water_age_h
2/21/18,DWDS_F,Full_Scale,DWDS_F,2.06,NA,site_21,192.61
2/21/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_20,163.92
2/21/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_3,23.31
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_1,19.35
2/27/18,DWDS_F,Full_Scale,DWDS_F,0.47,NA,site_7,34.69
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.14,NA,site_11,52.5
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.19,NA,site_8,34.97
2/27/18,DWDS_F,Full_Scale,DWDS_F,1.69,NA,site_14,70
2/27/18,DWDS_F,Full_Scale,DWDS_F,0.68,NA,site_9,50.07
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.14,NA,site_12,56.88
1/2/18,DWDS_F,Full_Scale,DWDS_F,1.47,NA,site_15,70
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.17,NA,site_10,50.61
2/27/18,DWDS_F,Full_Scale,DWDS_F,1.61,NA,site_17,70
2/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_13,64.36
2/28/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_19,131.08
2/28/18,DWDS_F,Full_Scale,DWDS_F,2.19,NA,site_5,28.98
2/28/18,DWDS_F,Full_Scale,DWDS_F,2.16,NA,site_18,78.9
2/28/18,DWDS_F,Full_Scale,DWDS_F,2.11,NA,site_22,206.3
2/28/18,DWDS_F,Full_Scale,DWDS_F,1.23,NA,site_23,234.39
2/28/18,DWDS_F,Full_Scale,DWDS_F,1.3,NA,site_24,289.38
2/28/18,DWDS_F,Full_Scale,DWDS_F,1.48,NA,site_21,192.61
2/28/18,DWDS_F,Full_Scale,DWDS_F,2.33,NA,site_20,163.92
2/28/18,DWDS_F,Full_Scale,DWDS_F,2.45,NA,site_3,23.31
3/2/18,DWDS_F,Full_Scale,DWDS_F,1.29,NA,site_14,70
3/6/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_1,19.35
3/6/18,DWDS_F,Full_Scale,DWDS_F,0.35,NA,site_7,34.69
3/6/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
3/6/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_11,52.5
3/6/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_8,34.97
3/6/18,DWDS_F,Full_Scale,DWDS_F,0.45,NA,site_14,70
3/6/18,DWDS_F,Full_Scale,DWDS_F,0.55,NA,site_9,50.07
3/6/18,DWDS_F,Full_Scale,DWDS_F,2.17,NA,site_12,56.88
2/6/18,DWDS_F,Full_Scale,DWDS_F,1.51,NA,site_15,70
3/6/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_10,50.61
3/6/18,DWDS_F,Full_Scale,DWDS_F,0.43,NA,site_17,70
3/6/18,DWDS_F,Full_Scale,DWDS_F,1.83,NA,site_13,64.36
3/7/18,DWDS_F,Full_Scale,DWDS_F,2.02,NA,site_19,131.08
3/7/18,DWDS_F,Full_Scale,DWDS_F,1.98,NA,site_5,28.98
3/7/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_18,78.9
3/7/18,DWDS_F,Full_Scale,DWDS_F,1.76,NA,site_22,206.3
3/7/18,DWDS_F,Full_Scale,DWDS_F,0.77,NA,site_23,234.39
3/7/18,DWDS_F,Full_Scale,DWDS_F,1.72,NA,site_24,289.38
3/7/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_21,192.61
3/7/18,DWDS_F,Full_Scale,DWDS_F,1.82,NA,site_20,163.92
3/7/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_3,23.31
3/12/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_13,64.36
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_1,19.35
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.3,NA,site_7,34.69
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.16,NA,site_11,52.5
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_8,34.97
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.63,NA,site_14,70
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.29,NA,site_9,50.07
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_12,56.88
4/17/18,DWDS_F,Full_Scale,DWDS_F,1.52,NA,site_15,70
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.1,NA,site_10,50.61
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_17,70
3/13/18,DWDS_F,Full_Scale,DWDS_F,2.05,NA,site_13,64.36
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.74,NA,site_19,131.08
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.69,NA,site_5,28.98
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.75,NA,site_18,78.9
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.54,NA,site_22,206.3
3/14/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_23,234.39
3/14/18,DWDS_F,Full_Scale,DWDS_F,0.15,NA,site_24,289.38
3/14/18,DWDS_F,Full_Scale,DWDS_F,0.67,NA,site_21,192.61
3/14/18,DWDS_F,Full_Scale,DWDS_F,1.7,NA,site_20,163.92
3/14/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
3/19/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_24,289.38
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_1,19.35
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.24,NA,site_7,34.69
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
3/20/18,DWDS_F,Full_Scale,DWDS_F,1.95,NA,site_11,52.5
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_8,34.97
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.21,NA,site_14,70
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.26,NA,site_9,50.07
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.16,NA,site_12,56.88
4/10/18,DWDS_F,Full_Scale,DWDS_F,1.57,NA,site_15,70
3/20/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_10,50.61
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.23,NA,site_17,70
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.61,NA,site_13,64.36
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.99,NA,site_19,131.08
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.69,NA,site_5,28.98
3/21/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.54,NA,site_22,206.3
3/21/18,DWDS_F,Full_Scale,DWDS_F,0.2,NA,site_23,234.39
3/21/18,DWDS_F,Full_Scale,DWDS_F,0.25,NA,site_24,289.38
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.38,NA,site_21,192.61
3/21/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_20,163.92
3/21/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.13,NA,site_1,19.35
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.35,NA,site_7,34.69
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_6,34.06
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_11,52.5
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_8,34.97
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.39,NA,site_14,70
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.34,NA,site_9,50.07
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_12,56.88
2/20/18,DWDS_F,Full_Scale,DWDS_F,2,NA,site_15,70
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.1,NA,site_10,50.61
3/27/18,DWDS_F,Full_Scale,DWDS_F,0.34,NA,site_17,70
3/27/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_13,64.36
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.73,NA,site_19,131.08
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.68,NA,site_5,28.98
3/28/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.62,NA,site_22,206.3
3/28/18,DWDS_F,Full_Scale,DWDS_F,0.7,NA,site_23,234.39
3/28/18,DWDS_F,Full_Scale,DWDS_F,0.94,NA,site_24,289.38
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.34,NA,site_21,192.61
3/28/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_20,163.92
3/28/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
4/2/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_24,289.38
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_11,52.5
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.98,NA,site_1,19.35
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_8,34.97
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.61,NA,site_14,70
4/3/18,DWDS_F,Full_Scale,DWDS_F,0.21,NA,site_7,34.69
4/3/18,DWDS_F,Full_Scale,DWDS_F,0.36,NA,site_9,50.07
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.99,NA,site_12,56.88
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_15,70
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_10,50.61
4/3/18,DWDS_F,Full_Scale,DWDS_F,1.59,NA,site_17,70
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.05,NA,site_13,64.36
4/3/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_6,34.06
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.93,NA,site_19,131.08
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.89,NA,site_5,28.98
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_14,70
4/4/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_22,206.3
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.32,NA,site_23,234.39
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.04,NA,site_24,289.38
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_21,192.61
4/4/18,DWDS_F,Full_Scale,DWDS_F,1.51,NA,site_20,163.92
4/4/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_3,23.31
4/9/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_13,64.36
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.07,NA,site_1,19.35
4/10/18,DWDS_F,Full_Scale,DWDS_F,0.54,NA,site_7,34.69
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_6,34.06
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.19,NA,site_11,52.5
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_8,34.97
4/10/18,DWDS_F,Full_Scale,DWDS_F,1.53,NA,site_14,70
4/10/18,DWDS_F,Full_Scale,DWDS_F,0.47,NA,site_9,50.07
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.09,NA,site_12,56.88
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_15,70
4/10/18,DWDS_F,Full_Scale,DWDS_F,2.18,NA,site_10,50.61
4/10/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_17,70
4/10/18,DWDS_F,Full_Scale,DWDS_F,2,NA,site_13,64.36
4/11/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_19,131.08
4/11/18,DWDS_F,Full_Scale,DWDS_F,1.43,NA,site_5,28.98
4/11/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_18,78.9
4/11/18,DWDS_F,Full_Scale,DWDS_F,1.49,NA,site_22,206.3
4/11/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_23,234.39
4/11/18,DWDS_F,Full_Scale,DWDS_F,0.61,NA,site_24,289.38
4/11/18,DWDS_F,Full_Scale,DWDS_F,0.67,NA,site_21,192.61
4/11/18,DWDS_F,Full_Scale,DWDS_F,1.45,NA,site_20,163.92
4/11/18,DWDS_F,Full_Scale,DWDS_F,2.2,NA,site_3,23.31
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.09,NA,site_1,19.35
4/17/18,DWDS_F,Full_Scale,DWDS_F,0.26,NA,site_7,34.69
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.31,NA,site_6,34.06
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.21,NA,site_11,52.5
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.02,NA,site_8,34.97
4/17/18,DWDS_F,Full_Scale,DWDS_F,1.36,NA,site_14,70
4/17/18,DWDS_F,Full_Scale,DWDS_F,1.12,NA,site_9,50.07
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.27,NA,site_12,56.88
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.61,NA,site_15,70
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.04,NA,site_10,50.61
4/17/18,DWDS_F,Full_Scale,DWDS_F,1.55,NA,site_17,70
4/17/18,DWDS_F,Full_Scale,DWDS_F,2.04,NA,site_13,64.36
4/18/18,DWDS_F,Full_Scale,DWDS_F,2.35,NA,site_19,131.08
4/18/18,DWDS_F,Full_Scale,DWDS_F,1.52,NA,site_5,28.98
4/18/18,DWDS_F,Full_Scale,DWDS_F,1.7,NA,site_18,78.9
4/18/18,DWDS_F,Full_Scale,DWDS_F,1.38,NA,site_22,206.3
4/18/18,DWDS_F,Full_Scale,DWDS_F,1.62,NA,site_23,234.39
4/18/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_21,192.61
4/18/18,DWDS_F,Full_Scale,DWDS_F,2.14,NA,site_20,163.92
4/18/18,DWDS_F,Full_Scale,DWDS_F,2.32,NA,site_3,23.31
4/24/18,DWDS_F,Full_Scale,DWDS_F,1.94,NA,site_1,19.35
4/24/18,DWDS_F,Full_Scale,DWDS_F,0.54,NA,site_7,34.69
4/24/18,DWDS_F,Full_Scale,DWDS_F,2.17,NA,site_6,34.06
4/24/18,DWDS_F,Full_Scale,DWDS_F,2.05,NA,site_11,52.5
4/24/18,DWDS_F,Full_Scale,DWDS_F,1.92,NA,site_8,34.97
4/24/18,DWDS_F,Full_Scale,DWDS_F,2.9,NA,site_14,70
4/24/18,DWDS_F,Full_Scale,DWDS_F,0.59,NA,site_9,50.07
4/24/18,DWDS_F,Full_Scale,DWDS_F,1.97,NA,site_12,56.88
4/24/18,DWDS_F,Full_Scale,DWDS_F,2.7,NA,site_15,70
4/24/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_10,50.61
4/24/18,DWDS_F,Full_Scale,DWDS_F,2.9,NA,site_17,70
4/24/18,DWDS_F,Full_Scale,DWDS_F,1.8,NA,site_13,64.36
4/25/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_19,131.08
4/25/18,DWDS_F,Full_Scale,DWDS_F,1.32,NA,site_5,28.98
4/25/18,DWDS_F,Full_Scale,DWDS_F,1.91,NA,site_18,78.9
4/25/18,DWDS_F,Full_Scale,DWDS_F,1.31,NA,site_22,206.3
4/25/18,DWDS_F,Full_Scale,DWDS_F,0.94,NA,site_23,234.39
4/25/18,DWDS_F,Full_Scale,DWDS_F,0.93,NA,site_24,289.38
4/25/18,DWDS_F,Full_Scale,DWDS_F,0.97,NA,site_21,192.61
4/25/18,DWDS_F,Full_Scale,DWDS_F,1.39,NA,site_20,163.92
4/25/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_3,23.31
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_11,52.5
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_1,19.35
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_8,34.97
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.8,NA,site_14,70
5/1/18,DWDS_F,Full_Scale,DWDS_F,0.49,NA,site_7,34.69
5/1/18,DWDS_F,Full_Scale,DWDS_F,0.72,NA,site_9,50.07
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.03,NA,site_12,56.88
8/8/17,DWDS_F,Full_Scale,DWDS_F,2.9,NA,site_15,70
5/1/18,DWDS_F,Full_Scale,DWDS_F,1.98,NA,site_10,50.61
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.8,NA,site_17,70
5/1/18,DWDS_F,Full_Scale,DWDS_F,1.88,NA,site_13,64.36
5/1/18,DWDS_F,Full_Scale,DWDS_F,2.18,NA,site_6,34.06
5/2/18,DWDS_F,Full_Scale,DWDS_F,1.26,NA,site_19,131.08
5/2/18,DWDS_F,Full_Scale,DWDS_F,1.52,NA,site_5,28.98
5/2/18,DWDS_F,Full_Scale,DWDS_F,2.74,NA,site_14,70
5/2/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_18,78.9
5/2/18,DWDS_F,Full_Scale,DWDS_F,0.85,NA,site_22,206.3
5/2/18,DWDS_F,Full_Scale,DWDS_F,0.51,NA,site_23,234.39
5/2/18,DWDS_F,Full_Scale,DWDS_F,0.3,NA,site_24,289.38
5/2/18,DWDS_F,Full_Scale,DWDS_F,1.52,NA,site_21,192.61
5/2/18,DWDS_F,Full_Scale,DWDS_F,0.89,NA,site_20,163.92
5/2/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_3,23.31
5/7/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_13,64.36
5/7/18,DWDS_F,Full_Scale,DWDS_F,NA,NA,site_24,289.38
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.14,NA,site_11,52.5
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.4,NA,site_1,19.35
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.04,NA,site_8,34.97
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.8,NA,site_14,70
5/8/18,DWDS_F,Full_Scale,DWDS_F,0.51,NA,site_7,34.69
5/8/18,DWDS_F,Full_Scale,DWDS_F,1.09,NA,site_9,50.07
5/8/18,DWDS_F,Full_Scale,DWDS_F,1.93,NA,site_12,56.88
8/22/17,DWDS_F,Full_Scale,DWDS_F,2.9,NA,site_15,70
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_10,50.61
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.7,NA,site_17,70
5/8/18,DWDS_F,Full_Scale,DWDS_F,1.85,NA,site_13,64.36
5/8/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_6,34.06
5/9/18,DWDS_F,Full_Scale,DWDS_F,1.32,NA,site_19,131.08
5/9/18,DWDS_F,Full_Scale,DWDS_F,1.28,NA,site_5,28.98
5/9/18,DWDS_F,Full_Scale,DWDS_F,1.2,NA,site_18,78.9
5/9/18,DWDS_F,Full_Scale,DWDS_F,0.89,NA,site_22,206.3
5/9/18,DWDS_F,Full_Scale,DWDS_F,1.23,NA,site_23,234.39
5/9/18,DWDS_F,Full_Scale,DWDS_F,1.34,NA,site_24,289.38
5/9/18,DWDS_F,Full_Scale,DWDS_F,1.4,NA,site_21,192.61
5/9/18,DWDS_F,Full_Scale,DWDS_F,0.49,NA,site_20,163.92
5/9/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_3,23.31
5/15/18,DWDS_F,Full_Scale,DWDS_F,1.99,NA,site_11,52.5
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.19,NA,site_1,19.35
5/15/18,DWDS_F,Full_Scale,DWDS_F,1.95,NA,site_8,34.97
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.9,NA,site_14,70
5/15/18,DWDS_F,Full_Scale,DWDS_F,0.54,NA,site_7,34.69
5/15/18,DWDS_F,Full_Scale,DWDS_F,1.04,NA,site_9,50.07
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.1,NA,site_12,56.88
8/1/17,DWDS_F,Full_Scale,DWDS_F,3,NA,site_15,70
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.06,NA,site_10,50.61
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.9,NA,site_17,70
5/15/18,DWDS_F,Full_Scale,DWDS_F,1.96,NA,site_13,64.36
5/15/18,DWDS_F,Full_Scale,DWDS_F,2.09,NA,site_6,34.06
5/16/18,DWDS_F,Full_Scale,DWDS_F,1.95,NA,site_19,131.08
5/16/18,DWDS_F,Full_Scale,DWDS_F,1.26,NA,site_5,28.98
5/16/18,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_18,78.9
5/16/18,DWDS_F,Full_Scale,DWDS_F,1.01,NA,site_22,206.3
5/16/18,DWDS_F,Full_Scale,DWDS_F,1.08,NA,site_23,234.39
5/16/18,DWDS_F,Full_Scale,DWDS_F,1.09,NA,site_24,289.38
5/16/18,DWDS_F,Full_Scale,DWDS_F,1.17,NA,site_21,192.61
5/16/18,DWDS_F,Full_Scale,DWDS_F,0.53,NA,site_20,163.92
5/16/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_3,23.31
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.09,NA,site_11,52.5
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.21,NA,site_1,19.35
5/22/18,DWDS_F,Full_Scale,DWDS_F,1.84,NA,site_8,34.97
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.88,NA,site_14,70
5/22/18,DWDS_F,Full_Scale,DWDS_F,0.31,NA,site_7,34.69
5/22/18,DWDS_F,Full_Scale,DWDS_F,1.51,NA,site_9,50.07
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.08,NA,site_12,56.88
8/15/17,DWDS_F,Full_Scale,DWDS_F,3.2,NA,site_15,70
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.05,NA,site_10,50.61
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.72,NA,site_17,70
5/22/18,DWDS_F,Full_Scale,DWDS_F,1.98,NA,site_13,64.36
5/22/18,DWDS_F,Full_Scale,DWDS_F,2.07,NA,site_6,34.06
5/23/18,DWDS_F,Full_Scale,DWDS_F,2.02,NA,site_19,131.08
5/23/18,DWDS_F,Full_Scale,DWDS_F,1.43,NA,site_5,28.98
5/23/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_18,78.9
5/23/18,DWDS_F,Full_Scale,DWDS_F,1.63,NA,site_22,206.3
5/23/18,DWDS_F,Full_Scale,DWDS_F,1.54,NA,site_23,234.39
5/23/18,DWDS_F,Full_Scale,DWDS_F,1.81,NA,site_24,289.38
5/23/18,DWDS_F,Full_Scale,DWDS_F,1.77,NA,site_21,192.61
5/23/18,DWDS_F,Full_Scale,DWDS_F,1.7,NA,site_20,163.92
5/23/18,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_3,23.31